"Year","Month","Rainfall","Month_num"
1965,"Apr",253.2,4
1965,"May",163.7,5
1965,"Jun",330.7,6
1965,"Jul",342.7,7
1965,"Aug",170.3,8
1965,"Sep",798.4,9
1965,"Oct",156.3,10
1965,"Nov",96.7,11
1965,"Dec",1.8,12
1966,"Jan",0.01,1
1966,"Feb",100.4,2
1966,"Mar",116.1,3
1966,"Apr",337,4
1966,"May",140.4,5
1966,"Jun",962.9,6
1966,"Jul",473.7,7
1966,"Aug",218.3,8
1966,"Sep",24.1,9
1966,"Oct",9.5,10
1966,"Nov",11.1,11
1966,"Dec",4.7,12
1967,"Jan",8.3,1
1967,"Feb",38.4,2
1967,"Mar",2.5,3
1967,"Apr",243.8,4
1967,"May",28.7,5
1967,"Jun",357.1,6
1967,"Jul",154.1,7
1967,"Aug",556.7,8
1967,"Sep",117.5,9
1967,"Oct",26,10
1967,"Nov",37,11
1967,"Dec",0.5,12
1968,"Jan",5.5,1
1968,"Feb",101.9,2
1968,"Mar",140.7,3
1968,"Apr",6.9,4
1968,"May",265,5
1968,"Jun",647.8,6
1968,"Jul",272.1,7
1968,"Aug",682.2,8
1968,"Sep",80.9,9
1968,"Oct",53.4,10
1968,"Nov",7,11
1968,"Dec",24.8,12
1969,"Jan",68.3,1
1969,"Feb",24.2,2
1969,"Mar",86.7,3
1969,"Apr",150.4,4
1969,"May",209.8,5
1969,"Jun",400.7,6
1969,"Jul",434.8,7
1969,"Aug",338.9,8
1969,"Sep",105.5,9
1969,"Oct",75.7,10
1969,"Nov",0.5,11
1969,"Dec",0.01,12
1970,"Jan",28.7,1
1970,"Feb",3,2
1970,"Mar",43.3,3
1970,"Apr",14.7,4
1970,"May",531.8,5
1970,"Jun",409.3,6
1970,"Jul",151.3,7
1970,"Aug",410.5,8
1970,"Sep",509.6,9
1970,"Oct",143.6,10
1970,"Nov",0.1,11
1970,"Dec",70.4,12
1971,"Jan",18,1
1971,"Feb",14.1,2
1971,"Mar",1.1,3
1971,"Apr",17.9,4
1971,"May",172.7,5
1971,"Jun",434.5,6
1971,"Jul",324.4,7
1971,"Aug",525.5,8
1971,"Sep",194.5,9
1971,"Oct",26,10
1971,"Nov",0.01,11
1971,"Dec",175.1,12
1972,"Jan",46.5,1
1972,"Feb",22,2
1972,"Mar",1.8,3
1972,"Apr",134.8,4
1972,"May",654.5,5
1972,"Jun",799.8,6
1972,"Jul",191,7
1972,"Aug",556.8,8
1972,"Sep",239.7,9
1972,"Oct",36.4,10
1972,"Nov",109,11
1972,"Dec",15,12
1973,"Jan",57.8,1
1973,"Feb",21.7,2
1973,"Mar",13.3,3
1973,"Apr",104.3,4
1973,"May",516.6,5
1973,"Jun",373.7,6
1973,"Jul",696.6,7
1973,"Aug",826.4,8
1973,"Sep",476,9
1973,"Oct",4.7,10
1973,"Nov",9.3,11
1973,"Dec",0.01,12
1974,"Jan",3.9,1
1974,"Feb",37,2
1974,"Mar",31.7,3
1974,"Apr",231.1,4
1974,"May",203.7,5
1974,"Jun",323.3,6
1974,"Jul",184.2,7
1974,"Aug",226.6,8
1974,"Sep",131.2,9
1974,"Oct",718.4,10
1974,"Nov",24.9,11
1974,"Dec",206.9,12
1975,"Jan",35.8,1
1975,"Feb",35.7,2
1975,"Mar",81.5,3
